"","Time","AgeGrp","ASFR","PASFR","Births"
"385",2000,49,8.47871681415929,0.225238938053097,1.29005309734513
"386",2001,15,23.1145840707965,0.636185840707965,12.6034867256637
"387",2001,16,40.7475752212389,1.1349203539823,22.1493274336283
"388",2001,17,64.6901769911504,1.83251327433628,35.1950796460177
"389",2001,18,93.9267256637168,2.70195575221239,50.9953982300885
"390",2001,19,122.769362831858,3.56975221238938,66.0800088495575
"391",2001,20,148.880761061947,4.3630796460177,79.0096814159292
"392",2001,21,167.242353982301,4.92069911504425,86.8553628318584
"393",2001,22,177.513601769912,5.2312389380531,89.6888053097345
"394",2001,23,182.955389380531,5.39645132743363,89.6958053097345
"395",2001,24,184.562672566372,5.44777876106195,87.6961769911504
"396",2001,25,183.450380530973,5.41988495575221,84.4479115044248
"397",2001,26,180.044654867257,5.325,80.2901150442478
"398",2001,27,175.100884955752,5.185,75.6225840707965
"399",2001,28,168.878362831858,5.00646902654867,70.5889203539823
"400",2001,29,161.749752212389,4.79763716814159,65.3633274336283
"401",2001,30,153.709805309735,4.55736283185841,60.0256017699115
"402",2001,31,144.345566371681,4.2733982300885,54.4661681415929
"403",2001,32,133.819026548673,3.95046017699115,48.7403185840708
"404",2001,33,123.233168141593,3.6215221238938,43.2519911504425
"405",2001,34,112.800991150442,3.2941592920354,38.0676283185841
"406",2001,35,102.283486725664,2.96762831858407,33.1475398230088
"407",2001,36,91.6338230088496,2.64223008849558,28.4825309734513
"408",2001,37,80.9595221238938,2.32150442477876,24.1106460176991
"409",2001,38,70.3777876106195,2.00834513274336,20.0575044247788
"410",2001,39,60.3380442477876,1.71517699115044,16.439592920354
"411",2001,40,50.9458053097345,1.44425663716814,13.2644336283186
"412",2001,41,42.2400707964602,1.19277876106195,10.4679203539823
"413",2001,42,34.4247699115044,0.965884955752212,8.06920353982301
"414",2001,43,28.336796460177,0.787716814159292,6.24169911504425
"415",2001,44,23.9874778761062,0.659053097345133,4.93924778761062
"416",2001,45,20.5444247787611,0.557884955752212,3.95120353982301
"417",2001,46,17.7106902654867,0.476026548672566,3.18814159292035
"418",2001,47,15.0628407079646,0.402008849557522,2.54911504424779
"419",2001,48,12.2892920353982,0.326787610619469,1.96791150442478
"420",2001,49,8.47871681415929,0.225238938053097,1.29005309734513
"421",2002,15,23.1145840707965,0.636185840707965,12.6034867256637
"422",2002,16,40.7475752212389,1.1349203539823,22.1493274336283
"423",2002,17,64.6901769911504,1.83251327433628,35.1950796460177
"424",2002,18,93.9267256637168,2.70195575221239,50.9953982300885
"425",2002,19,122.769362831858,3.56975221238938,66.0800088495575
"426",2002,20,148.880761061947,4.3630796460177,79.0096814159292
"427",2002,21,167.242353982301,4.92069911504425,86.8553628318584
"428",2002,22,177.513601769912,5.2312389380531,89.6888053097345
"429",2002,23,182.955389380531,5.39645132743363,89.6958053097345
"430",2002,24,184.562672566372,5.44777876106195,87.6961769911504
"431",2002,25,183.450380530973,5.41988495575221,84.4479115044248
"432",2002,26,180.044654867257,5.325,80.2901150442478
"433",2002,27,175.100884955752,5.185,75.6225840707965
"434",2002,28,168.878362831858,5.00646902654867,70.5889203539823
"435",2002,29,161.749752212389,4.79763716814159,65.3633274336283
"436",2002,30,153.709805309735,4.55736283185841,60.0256017699115
"437",2002,31,144.345566371681,4.2733982300885,54.4661681415929
"438",2002,32,133.819026548673,3.95046017699115,48.7403185840708
"439",2002,33,123.233168141593,3.6215221238938,43.2519911504425
"440",2002,34,112.800991150442,3.2941592920354,38.0676283185841
"441",2002,35,102.283486725664,2.96762831858407,33.1475398230088
"442",2002,36,91.6338230088496,2.64223008849558,28.4825309734513
"443",2002,37,80.9595221238938,2.32150442477876,24.1106460176991
"444",2002,38,70.3777876106195,2.00834513274336,20.0575044247788
